Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in),TMEAN (F) 
'147093',1893,1,0.1,. 
'147093',1893,2,0.52,29.8 
'147093',1893,3,0.4,34 
'147093',1893,4,0.26,48.4 
'147093',1893,5,1.81,59 
'147093',1893,6,2.5,73.9 
'147093',1893,7,2.42,75.8 
'147093',1893,8,2,71.4 
'147093',1893,9,0.65,65.1 
'147093',1893,10,0.37,51 
'147093',1893,11,0.09,36.6 
'147093',1893,12,0.13,33.5 
'147093',1894,1,0.43,25.4 
'147093',1894,2,0.69,22.5 
'147093',1894,3,0.45,42.1 
'147093',1894,4,0.62,53.7 
'147093',1894,5,0.64,62.9 
'147093',1894,6,2.54,69.8 
'147093',1894,7,1.59,75.8 
'147093',1894,8,0.69,72.5 
'147093',1894,9,0.69,64.3 
'147093',1894,10,0.26,51.7 
'147093',1894,11,0.03,39.7 
'147093',1894,12,0.54,30.6 
'147093',1895,1,0.3,23 
'147093',1895,2,0.89,21.3 
'147093',1895,3,0.21,36.8 
'147093',1895,4,1.24,54.2 
'147093',1895,5,2.7,61.1 
'147093',1895,6,2.7,66.5 
'147093',1895,7,4.36,70.4 
'147093',1895,8,2.24,72.9 
'147093',1895,9,1.03,67.1 
'147093',1895,10,0.48,50.7 
'147093',1895,11,0.69,33.6 
'147093',1895,12,0.76,27.2 
'147093',1896,1,0.31,31.6 
'147093',1896,2,0.08,35.5 
'147093',1896,3,0.95,35.6 
'147093',1896,4,3.54,52.2 
'147093',1896,5,2.34,63.6 
'147093',1896,6,3.71,69.9 
'147093',1896,7,1.72,75.2 
'147093',1896,8,2.56,73.5 
'147093',1896,9,1.14,60.5 
'147093',1896,10,1.55,51.3 
'147093',1896,11,0.14,29.8 
'147093',1896,12,0.31,37 
'147093',1897,1,0.17,26.5 
'147093',1897,2,0.42,30.3 
'147093',1897,3,2.16,37 
'147093',1897,4,2.75,49.1 
'147093',1897,5,0.32,61.5 
'147093',1897,6,3.38,68 
'147093',1897,7,1.69,75.5 
'147093',1897,8,3.94,74.1 
'147093',1897,9,1.61,69.1 
'147093',1897,10,4.04,53.1 
'147093',1897,11,0.23,38.2 
'147093',1897,12,0.67,24.7 
'147093',1898,1,0.16,28 
'147093',1898,2,0.05,34.4 
'147093',1898,3,0.27,35.6 
'147093',1898,4,1.9,50.4 
'147093',1898,5,5.14,55.6 
'147093',1898,6,3.5,69.9 
'147093',1898,7,1.17,72.7 
'147093',1898,8,1.16,74.7 
'147093',1898,9,3.87,61.6 
'147093',1898,10,0.68,46.5 
'147093',1898,11,0.37,32.4 
'147093',1898,12,0.34,24.2 
'147093',1899,1,0.26,25.6 
'147093',1899,2,0.52,15.1 
'147093',1899,3,1,32.9 
'147093',1899,4,0.37,48.9 
'147093',1899,5,2.89,59.8 
'147093',1899,6,3.04,69.9 
'147093',1899,7,3.74,73.3 
'147093',1899,8,1.8,75.1 
'147093',1899,9,0.25,65.3 
'147093',1899,10,0.04,51.9 
'147093',1899,11,1.54,41.5 
'147093',1899,12,0.19,27.2 
'147093',1900,1,0.01,32.7 
'147093',1900,2,0.99,26.6 
'147093',1900,3,0.58,40.2 
'147093',1900,4,3.09,50.6 
'147093',1900,5,0.9,61.5 
'147093',1900,6,2.27,72.7 
'147093',1900,7,3.55,74.8 
'147093',1900,8,2.48,76.1 
'147093',1900,9,0.52,63.6 
'147093',1900,10,0.13,55.5 
'147093',1900,11,0.13,37.8 
'147093',1900,12,0.31,32.6 
'147093',1901,1,0.06,27.6 
'147093',1901,2,0.35,24.1 
'147093',1901,3,2.97,35.9 
'147093',1901,4,2.7,47.8 
'147093',1901,5,0.7,59.2 
'147093',1901,6,3.37,70.9 
'147093',1901,7,1.85,79.7 
'147093',1901,8,4.96,74.1 
'147093',1901,9,3.67,62.7 
'147093',1901,10,0.46,52.3 
'147093',1901,11,0.01,41 
'147093',1901,12,0.89,27.8 
'147093',1902,1,0.14,26.8 
'147093',1902,2,0.22,29.7 
'147093',1902,3,0.97,40 
'147093',1902,4,0.74,50.7 
'147093',1902,5,3.76,62.7 
'147093',1902,6,3.56,67 
'147093',1902,7,3.48,72.4 
'147093',1902,8,1.69,74 
'147093',1902,9,3.94,59.3 
'147093',1902,10,1.32,52.3 
'147093',1902,11,0.06,38.4 
'147093',1902,12,1.13,23.8 
'147093',1903,1,0.13,30.3 
'147093',1903,2,1.83,21.4 
'147093',1903,3,0.37,36.2 
'147093',1903,4,1.08,49.6 
'147093',1903,5,4.1,56.9 
'147093',1903,6,1.47,63.2 
'147093',1903,7,4.16,73.5 
'147093',1903,8,2.49,70.9 
'147093',1903,9,0.75,61.8 
'147093',1903,10,0.3,52.1 
'147093',1903,11,0.44,39 
'147093',1903,12,0.09,32.1 
'147093',1904,1,0.05,26.3 
'147093',1904,2,0.09,31.8 
'147093',1904,3,0.29,42.2 
'147093',1904,4,1.83,48.4 
'147093',1904,5,3.45,58.5 
'147093',1904,6,6,65.4 
'147093',1904,7,2.6,71.8 
'147093',1904,8,4.57,70.4 
'147093',1904,9,1.94,64.2 
'147093',1904,10,1.68,53.6 
'147093',1904,11,0.03,40.7 
'147093',1904,12,0.12,31.7 
'147093',1905,1,0.31,23.6 
'147093',1905,2,0.63,19.4 
'147093',1905,3,2.53,43.8 
'147093',1905,4,3,46.4 
'147093',1905,5,3.61,56.2 
'147093',1905,6,2.83,70.2 
'147093',1905,7,4.29,70.5 
'147093',1905,8,2.81,73.9 
'147093',1905,9,2.03,66.3 
'147093',1905,10,1.07,46.7 
'147093',1905,11,0.55,40.3 
'147093',1905,12,0,28.7 
'147093',1906,1,0.23,32.6 
'147093',1906,2,0.31,34.2 
'147093',1906,3,2.29,27 
'147093',1906,4,3.3,51.6 
'147093',1906,5,1.41,60.1 
'147093',1906,6,1.96,66.9 
'147093',1906,7,3.34,70.8 
'147093',1906,8,3.16,72.3 
'147093',1906,9,1.12,63.1 
'147093',1906,10,2.37,48.1 
'147093',1906,11,0.49,36.5 
'147093',1906,12,0.27,35.5 
'147093',1907,1,0.11,25.4 
'147093',1907,2,0.04,35.5 
'147093',1907,3,0.34,46.3 
'147093',1907,4,1.39,44.2 
'147093',1907,5,1.59,54.2 
'147093',1907,6,4.11,68 
'147093',1907,7,4.7,75.5 
'147093',1907,8,4.02,72.7 
'147093',1907,9,0.98,65.2 
'147093',1907,10,0.83,52.9 
'147093',1907,11,0.17,36.5 
'147093',1907,12,0.49,27.9 
'147093',1908,1,0.08,30.1 
'147093',1908,2,0.77,31 
'147093',1908,3,0.04,42 
'147093',1908,4,0.35,50.9 
'147093',1908,5,2.68,57.6 
'147093',1908,6,4.11,67.6 
'147093',1908,7,3.16,73.7 
'147093',1908,8,3.7,72 
'147093',1908,9,0.03,68.2 
'147093',1908,10,4.12,51 
'147093',1908,11,2.85,36.2 
'147093',1908,12,0.06,24.3 
'147093',1909,1,0.15,27.2 
'147093',1909,2,0.87,30.3 
'147093',1909,3,1.75,36.5 
'147093',1909,4,0.71,47.1 
'147093',1909,5,1.63,57 
'147093',1909,6,5.98,68.4 
'147093',1909,7,2.42,75.7 
'147093',1909,8,0.46,76.9 
'147093',1909,9,2.67,64.2 
'147093',1909,10,1.16,51.4 
'147093',1909,11,2,39.5 
'147093',1909,12,1.62,15.1 
'147093',1910,1,0.2,25.3 
'147093',1910,2,0.05,29.3 
'147093',1910,3,0,50.7 
'147093',1910,4,0.54,52.5 
'147093',1910,5,2.64,56.6 
'147093',1910,6,1.69,70.2 
'147093',1910,7,0.68,78.3 
'147093',1910,8,4.1,71.1 
'147093',1910,9,1.67,66.8 
'147093',1910,10,0.01,56.4 
'147093',1910,11,0.02,39.7 
'147093',1910,12,0.1,31.8 
'147093',1911,1,0.11,31.6 
'147093',1911,2,0.45,30.3 
'147093',1911,3,0,44.6 
'147093',1911,4,1.97,48.5 
'147093',1911,5,0.82,61.3 
'147093',1911,6,0.34,76.8 
'147093',1911,7,0.88,76 
'147093',1911,8,3.48,72.8 
'147093',1911,9,2.01,68.7 
'147093',1911,10,1.78,46.7 
'147093',1911,11,0.17,33.6 
'147093',1911,12,1.19,23.1 
'147093',1912,1,0.11,17.2 
'147093',1912,2,1.33,29.2 
'147093',1912,3,1.29,24.4 
'147093',1912,4,4.18,48 
'147093',1912,5,0.97,60.5 
'147093',1912,6,4.05,65.6 
'147093',1912,7,6.65,73.7 
'147093',1912,8,4.69,70.4 
'147093',1912,9,2.26,58.5 
'147093',1912,10,1.16,50.3 
'147093',1912,11,0.48,39.3 
'147093',1912,12,0.25,29 
'147093',1913,1,0.23,24.3 
'147093',1913,2,0.4,22.4 
'147093',1913,3,0.52,35.5 
'147093',1913,4,1.63,50.3 
'147093',1913,5,0.66,61.9 
'147093',1913,6,2.67,70 
'147093',1913,7,2.19,76.6 
'147093',1913,8,0.53,78.9 
'147093',1913,9,2.45,61.2 
'147093',1913,10,0.03,47.4 
'147093',1913,11,0.2,41.3 
'147093',1913,12,3.12,22.4 
'147093',1914,1,0.04,32.3 
'147093',1914,2,0.11,26.2 
'147093',1914,3,0.11,37.8 
'147093',1914,4,2.09,49.3 
'147093',1914,5,2.91,59 
'147093',1914,6,0.23,73.3 
'147093',1914,7,3.91,75.8 
'147093',1914,8,4.89,73.2 
'147093',1914,9,0.26,66.9 
'147093',1914,10,1.48,53.7 
'147093',1914,11,0,42.4 
'147093',1914,12,0.55,18.6 
'147093',1915,1,0.51,23.6 
'147093',1915,2,0.5,34.2 
'147093',1915,3,1.31,28.8 
'147093',1915,4,4.63,53.4 
'147093',1915,5,7.27,54.9 
'147093',1915,6,4.46,63.6 
'147093',1915,7,4.11,69.9 
'147093',1915,8,3.2,67.8 
'147093',1915,9,1.33,64 
'147093',1915,10,3.68,54.4 
'147093',1915,11,0.44,41.5 
'147093',1915,12,0.5,28.5 
'147093',1916,1,0.46,19.4 
'147093',1916,2,0.02,33.7 
'147093',1916,3,0.19,44.2 
'147093',1916,4,1.45,48.5 
'147093',1916,5,2.55,58.8 
'147093',1916,6,2.83,67.1 
